benchmark,warmup_iter,iter,name,command,duration,lines,env
subtitles_ru_alternate,1,3,rg (lines),rg -n Шерлок Холмс|Джон Уотсон|Ирен Адлер|инспектор Лестрейд|профессор Мориарти C:\Users\ianskerins\ripgrep\benchsuite\subtitles\OpenSubtitles2016.raw.ru,4.765635251998901,691,
subtitles_ru_alternate,1,3,rg,rg Шерлок Холмс|Джон Уотсон|Ирен Адлер|инспектор Лестрейд|профессор Мориарти C:\Users\ianskerins\ripgrep\benchsuite\subtitles\OpenSubtitles2016.raw.ru,4.390657186508179,691,
subtitles_ru_alternate,1,3,rg,rg Шерлок Холмс|Джон Уотсон|Ирен Адлер|инспектор Лестрейд|профессор Мориарти C:\Users\ianskerins\ripgrep\benchsuite\subtitles\OpenSubtitles2016.raw.ru,4.390609264373779,691,
subtitles_ru_alternate,1,3,rg,rg Шерлок Холмс|Джон Уотсон|Ирен Адлер|инспектор Лестрейд|профессор Мориарти C:\Users\ianskerins\ripgrep\benchsuite\subtitles\OpenSubtitles2016.raw.ru,4.4062418937683105,691,
subtitles_ru_alternate_casei,1,3,rg,rg -n -i Шерлок Холмс|Джон Уотсон|Ирен Адлер|инспектор Лестрейд|профессор Мориарти C:\Users\ianskerins\ripgrep\benchsuite\subtitles\OpenSubtitles2016.raw.ru,4.734394550323486,735,
subtitles_ru_alternate_casei,1,3,rg,rg -n -i Шерлок Холмс|Джон Уотсон|Ирен Адлер|инспектор Лестрейд|профессор Мориарти C:\Users\ianskerins\ripgrep\benchsuite\subtitles\OpenSubtitles2016.raw.ru,4.734360456466675,735,
subtitles_ru_alternate_casei,1,3,rg,rg -n -i Шерлок Холмс|Джон Уотсон|Ирен Адлер|инспектор Лестрейд|профессор Мориарти C:\Users\ianskerins\ripgrep\benchsuite\subtitles\OpenSubtitles2016.raw.ru,4.765651702880859,735,
subtitles_ru_literal,1,3,rg,rg Шерлок Холмс C:\Users\ianskerins\ripgrep\benchsuite\subtitles\OpenSubtitles2016.raw.ru,0.6250102519989014,583,
subtitles_ru_literal,1,3,rg,rg Шерлок Холмс C:\Users\ianskerins\ripgrep\benchsuite\subtitles\OpenSubtitles2016.raw.ru,0.6875350475311279,583,
subtitles_ru_literal,1,3,rg,rg Шерлок Холмс C:\Users\ianskerins\ripgrep\benchsuite\subtitles\OpenSubtitles2016.raw.ru,0.640618085861206,583,
subtitles_ru_literal,1,3,rg (no mmap),rg --no-mmap Шерлок Холмс C:\Users\ianskerins\ripgrep\benchsuite\subtitles\OpenSubtitles2016.raw.ru,1.0468499660491943,583,
subtitles_ru_literal,1,3,rg (no mmap),rg --no-mmap Шерлок Холмс C:\Users\ianskerins\ripgrep\benchsuite\subtitles\OpenSubtitles2016.raw.ru,0.9999635219573975,583,
